artista,genero,anio,similares,bio,listeners,playcount
Fleetwood Mac,blues,2021,"Stevie Nicks, Lindsey Buckingham, Christine McVie","Fleetwood Mac is a British-American rock band, formed in London in 1967. Fleetwood Mac was founded by guitarist Peter Green, drummer Mick Fleetwood and guitarist Jeremy Spencer, before bassist John McVie joined the lineup for their self-titled debut album. Danny Kirwan joined as a third guitarist in 1968. Keyboardist Christine Perfect (later known as Christine McVie), who contributed as a session musician from the second album, married McVie and joined in 1970. <a href=""https://www.last.fm/music/+noredirect/Fleetwood+Mac"">Read more on Last.fm</a>",4518127,253919040
Chris Isaak,blues,2022,"Chris Rea, Snowy White, Bryan Ferry","Chris Isaak (born June 26, 1956 in Stockton, California as Christopher Joseph Isaak) is an American Rock'n'Roll singer, songwriter, and occasional actor.
Isaak's music can be described as a blend of country, blues, rock'n'roll, pop and surf rock.

He signed a contract to Warner Brothers Records in 1984 for his first album ""Silvertone"". Isaak's contract was renewed in 1988 when Warner moved him to their Reprise Records label.

His best-known song is ""Wicked Game"". <a href=""https://www.last.fm/music/+noredirect/Chris+Isaak"">Read more on Last.fm</a>",1809356,27564019
The Black Keys,blues,2023,"Dan Auerbach, The Arcs, Black Pistol Fire","The Black Keys are an alternative rock  group from Akron, Ohio, United States which formed in 2001, consisting of singer and guitarist Dan Auerbach and drummer Patrick Carney. The band name was inspired by a schizophrenic artist and friend in Akron, who used the term ""black keys"" to describe things he disliked or people he did not trust. The Black Keys have roots in traditional blues and psychedelic rock stylings.

They released their first album, The Big Come Up, in 2002, followed by Thickfreakness in 2003, and Rubber Factory in 2004. <a href=""https://www.last.fm/music/+noredirect/The+Black+Keys"">Read more on Last.fm</a>",3209773,191594759
Etta James,blues,2020,"Aretha Franklin, Nina Simone, Dinah Washington","Etta James (1938-2012) was a U.S.  blues, soul, R&B, rock & roll, and jazz singer and songwriter. She is the winner of four Grammies, seventeen Blues Music Awards, and was inducted into the Rock & Roll Hall of Fame (in 1993), the Blues Hall of Fame (in 2001), and the Grammy Hall of Fame (in both 1999 and 2008).

James was born Jamesetta Hawkins in Los Angeles, California, on 25th January 1938, to an unmarried fourteen-year-old mother, Dorothy Hawkins. <a href=""https://www.last.fm/music/+noredirect/Etta+James"">Read more on Last.fm</a>",2140624,29825163
Eric Clapton,blues,2021,"B.B. King & Eric Clapton, J.J. Cale & Eric Clapton, Derek and the Dominos","Eric Patrick Clapton CBE (born 30 March 1945) is an English rock and blues guitarist, singer, and songwriter. He is regarded as one of the most successful and influential guitarists in rock music. He ranked second in Rolling Stone's list of the ""100 Greatest Guitarists of All Time"" and fourth in Gibson's ""Top 50 Guitarists of All Time"". In 2023, Rolling Stone named Clapton the 35th best guitarist of all time. He was also named number five in Time magazine's list of ""The 10 Best Electric Guitar Players"" in 2009. <a href=""https://www.last.fm/music/+noredirect/Eric+Clapton"">Read more on Last.fm</a>",3316740,79116908
B.B. King,blues,2022,"Albert King, Freddie King, John Lee Hooker","B. B. King (b. September 16, 1925 in Itta Bena, Mississippi; died May 14, 2015 in Las Vegas) was a U.S. blues guitarist and songwriter. He is among the most respected electric guitarists; Rolling Stone magazine ranked him third in its list of the hundred greatest guitarists of all time.

Born as Riley B. King, he began broadcasting his music live on a Memphis radio station called WDIA. At first, he used the name The Peptikon Boy on air, which later was changed to The Beale Street Blues Boy, and then further shortened to just Blues Boy or B.B. <a href=""https://www.last.fm/music/+noredirect/B.B.+King"">Read more on Last.fm</a>",1279399,19941484
Tom Waits,blues,2023,"Leonard Cohen, Nick Cave & the Bad Seeds, Bob Dylan","Tom Waits (born Thomas Alan Waits, in Pomona, California, on December 7, 1949) is a prolific American singer, songwriter, composer, and actor.

He started his career in the early 1970s as a singer in spit 'n' sawdust bars. Initially, he was deeply influenced by the beat generation, novelists like Jack Kerouac and William S. Burroughs, and poets like Allen Ginsberg and Charles Bukowski.  Waits is often compared to Charles Bukowski, being similar both in content and lifestyle <a href=""https://www.last.fm/music/+noredirect/Tom+Waits"">Read more on Last.fm</a>",1912875,122264917
J.J. Cale,blues,2020,"J.J. Cale & Eric Clapton, Tony Joe White, Peter Green","John Weldon Cale (5 December 1938 –  26 July  2013), known as JJ Cale or J.J. Cale, was a Grammy Award-winning American singer, musician, and songwriter. Cale was one of the originators of the Tulsa Sound, a loose genre drawing on blues, rockabilly, country, and jazz influences. Cale's personal style has often been described as ""laid back"".

His songs have been performed by a number of other musicians including ""After Midnight"" and ""Cocaine"" by Eric Clapton <a href=""https://www.last.fm/music/J.J.+Cale"">Read more on Last.fm</a>",853538,15754798
Billie Holiday,blues,2021,"Ella Fitzgerald, Billie Holiday and Her Orchestra, Sarah Vaughan","Billie Holiday (Eleanora Fagan Gough, Philadelphia, PA, April 7, 1915 – New York City, NY, July 17, 1959) was an American jazz singer and songwriter.

Nicknamed Lady Day by her loyal friend and musical partner Lester Young, Holiday was a highly original influence on jazz and pop singing. Her vocal style, strongly inspired by jazz instrumentalists, pioneered a new way of manipulating phrasing and tempo. Above all, she was admired for her deeply personal and intimate approach to singing. <a href=""https://www.last.fm/music/+noredirect/Billie+Holiday"">Read more on Last.fm</a>",2251873,49713024
Stevie Ray Vaughan,blues,2022,"The Vaughan Brothers, Albert King, Jimmie Vaughan","Stephen (""Stevie"") Ray Vaughan, born in Dallas, Texas (October 3, 1954 – August 27, 1990) was an American blues guitar legend, and is known as one of the most influential blues musicians in history.

Stevie Ray had been in numerous bands before joining blues rock combo Stevie Ray Vaughan and Double Trouble in the late 1970's.
 
Stevie Ray Vaughan and Double Trouble's debut album was released in 1983. The critically acclaimed Texas Flood (1983) featured the top-20 hit Pride and Joy and sold well in both blues and rock circles.  <a href=""https://www.last.fm/music/Stevie+Ray+Vaughan"">Read more on Last.fm</a>",1125759,17601446
Jimi Hendrix,blues,2023,"Noel Redding, Cream, The Jimi Hendrix Experience","James Marshall ""Jimi"" Hendrix (born Johnny Allen Hendrix; November 27, 1942 – September 18, 1970) was an American rock guitarist, singer, and songwriter. Although his mainstream career spanned only four years, he is widely regarded as one of the most influential electric guitarists in the history of popular music, and one of the most celebrated musicians of the 20th century. The Rock and Roll Hall of Fame describes him as ""arguably the greatest instrumentalist in the history of rock music"". <a href=""https://www.last.fm/music/+noredirect/Jimi+Hendrix"">Read more on Last.fm</a>",3950304,133911451
Louis Armstrong,blues,2020,"Ella Fitzgerald & Louis Armstrong, Ella Fitzgerald, Duke Ellington","Louis Armstrong (August 4, 1901 - July 6, 1971) nicknamed Satchmo or Pops, was an American jazz trumpeter and singer from New Orleans, Louisiana.
Coming to prominence in the 1920s as an inventive trumpet and cornet player, Armstrong was a foundational influence in jazz, shifting the focus of the music from collective improvisation to solo performance. With his instantly-recognizable gravelly voice, Armstrong was also an influential singer, demonstrating great dexterity as an improviser <a href=""https://www.last.fm/music/+noredirect/Louis+Armstrong"">Read more on Last.fm</a>",2863182,42625761
Alabama Shakes,blues,2021,"Brittany Howard, St. Paul & The Broken Bones, The Black Keys","Alabama Shakes is an American rock band formed in Athens, Alabama, United States in 2009. The group consists of lead singer Brittany Howard, guitarist Heath Fogg, bassist Zac Cockrell, and drummer Steve Johnson.

Here is some background information on Alabama Shakes from the Hold On Songfacts: The R&B-inspired Rock band Alabama Shakes originated when lead singer/guitarist Brittany Howard approached bassist Zac Cockrell during a high school psychology class in Athens, Alabama and the pair began meeting after school to write songs. <a href=""https://www.last.fm/music/Alabama+Shakes"">Read more on Last.fm</a>",1024866,24424023
The Seatbelts,blues,2022,"Mai Yamane, Steve Conte, Tulivu-Donna Cumberbatch","シートベルツ  (Seatbelts) is a Japanese blues/jazz band led by composer and instrumentalist 菅野よう子 (Yoko Kanno). Their style is very diverse and ranges from straightforward big-band jazz to more refined rock 'n roll and blues ballads. 

Since most of the band's prolific output revolves around instrumental work, Seatbelts have no de facto lead singer but Steve Conte (from The Contes and Crown Jewels) and 山根麻以 (Mai Yamane) have contributed to and sung for several tracks. <a href=""https://www.last.fm/music/The+Seatbelts"">Read more on Last.fm</a>",96694,6076463
John Lee Hooker,blues,2023,"Lightnin' Hopkins, Howlin' Wolf, Muddy Waters","John Lee Hooker (Coahoma County,  Mississippi, August 22, 1917 – Los Altos, California, June 21, 2001) was a highly influential American blues singer, guitarist and songwriter.

John Lee Hooker could be said to embody his own unique genre of the blues, often incorporating the boogie-woogie piano style and a driving rhythm into his masterful and idiosyncratic blues guitar and singing. His best known songs include ""Boogie Chillen"" (1948) and ""Boom Boom"" (1962). <a href=""https://www.last.fm/music/John+Lee+Hooker"">Read more on Last.fm</a>",1060304,14777185
Muddy Waters,blues,2020,"Howlin' Wolf, Little Walter, Elmore James","Muddy Waters (McKinley Morganfield, Issaquena County, Mississippi, April 4, 1913 - Westmont, Illinois,  April 30, 1983) was an American blues musician and is generally considered ""the father of Chicago Blues."" His career spanned over thirty years and he produced what are considered to be some of the finest blues songs ever, such as Hoochie Coochie Man, Mannish Boy and Got My Mojo Working. 

Muddy Waters is generally considered one of the most influential bluesmen of all time. <a href=""https://www.last.fm/music/+noredirect/Muddy+Waters"">Read more on Last.fm</a>",1071397,16333135
Dire Straits,blues,2021,"Mark Knopfler, Eric Clapton, Chris Rea","Dire Straits was a British rock band formed in London in 1977 by Mark Knopfler (lead vocals and lead guitar), David Knopfler (rhythm guitar and backing vocals), John Illsley (bass guitar and backing vocals), and Pick Withers (drums and percussion). They were active from 1977 to 1988 and again from 1990 to 1995.

Their first single, ""Sultans of Swing"", from their 1978 self-titled debut album, reached the top ten in the UK and US charts. It was followed by a series of hit singles including ""Romeo and Juliet"" (1981) <a href=""https://www.last.fm/music/Dire+Straits"">Read more on Last.fm</a>",3333907,105934477
Rag'n'Bone Man,blues,2022,"Teddy Swims, Jacob Banks, Lukas Graham","Rory Charles Graham (born 29 January 1985), known professionally as Rag'n'Bone Man, is an English singer. He is known for his deep baritone voice. His first hit single, ""Human"", was released in 2016, and his first album Human was released in 2017. The album became the fastest selling debut album by a male in the UK for the decade and has since achieved 4× Platinum certification. At the 2017 Brit Awards, he was named British Breakthrough Act and received <a href=""https://www.last.fm/music/Rag%27n%27Bone+Man"">Read more on Last.fm</a>",790648,10611079
Buddy Guy,blues,2023,"Albert King, Freddie King, Luther Allison","Buddy Guy (born George Guy, July 30, 1936 in Lettsworth, Louisiana) is an American blues music and rock music guitarist, as well as a singer. Known as an inspiration to Jimi Hendrix and other 1960s blues and rock legends, Guy is considered as an important proponent of Chicago blues made famous by Muddy Waters and Howlin' Wolf. He has influenced both widely known and local blues guitarists.

Guy is known for his showmanship; for example, he plays with drumsticks and walks into the audience whilst playing <a href=""https://www.last.fm/music/Buddy+Guy"">Read more on Last.fm</a>",723541,8741430
